Job_Title,Salary,Salary_Type,Location,Website,Scrape Date
marketing-analyst,"51,909",Annually,US,Zengig,30-11-2023
marketing-assistant,"36,306",Annually,US,Zengig,30-11-2023
marketing-associate,"41,456",Annually,US,Zengig,30-11-2023
marketing-coordinator,"41,123",Annually,US,Zengig,30-11-2023
marketing-director,"96,755",Annually,US,Zengig,30-11-2023
marketing-manager,"73,699",Annually,US,Zengig,30-11-2023
marketing-specialist,"49,286",Annually,US,Zengig,30-11-2023
massage-therapist,"47,814",Annually,US,Zengig,30-11-2023
master-electrician,"64,162",Annually,US,Zengig,30-11-2023
material-handler,"24,268",Annually,US,Zengig,30-11-2023
materials-manager,"71,697",Annually,US,Zengig,30-11-2023
mechanic,"46,154",Annually,US,Zengig,30-11-2023
mechanical-engineer,"75,110",Annually,US,Zengig,30-11-2023
media-buyer,"55,046",Annually,US,Zengig,30-11-2023
media-sales-representative,"52,130",Annually,US,Zengig,30-11-2023
medical-assistant,"29,085",Annually,US,Zengig,30-11-2023
medical-biller,"33,468",Annually,US,Zengig,30-11-2023
medical-coder,"35,322",Annually,US,Zengig,30-11-2023
medical-device-sales-representative,"72,356",Annually,US,Zengig,30-11-2023
medical-examiner,"98,549",Annually,US,Zengig,30-11-2023
